Województwo,"Rodzaj produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt","Nazwa produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt",Data wpisu na lpt
małopolskie,Mięso świeże oraz produkty mięsne,Szynka iwkowska,2014-11-14
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb świąteczny,2014-11-14
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa podhalańska ze Skrzypnego,2014-12-09
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska sądecka,2014-12-22
małopolskie,Mięso świeże oraz produkty mięsne,Polędwica wiejska sądecka tradycyjna,2014-12-22
małopolskie,Mięso świeże oraz produkty mięsne,Szynka swojska sądecka tradycyjna,2014-12-22
małopolskie,Mięso świeże oraz produkty mięsne,Karczek sądecki tradycyjny,2014-12-22
małopolskie,Sery i inne produkty mleczne,Sery twarogowe niedojrzewające,2014-12-22
małopolskie,Mięso świeże oraz produkty mięsne,Wędzonka sądecka tradycyjna,2015-01-16
małopolskie,Mięso świeże oraz produkty mięsne,Golonka sądecka tradycyjna,2015-01-16
małopolskie,Mięso świeże oraz produkty mięsne,Boczek sądecki tradycyjny,2015-01-16
małopolskie,Napoje (alkoholowe i bezalkoholowe),Fasolówka,2015-01-16
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Maliny z Brzeznej,2015-01-16
małopolskie,Gotowe dania i potrawy,Gałki sadczane,2015-04-16
małopolskie,Miody,Miód nawłociowy z Gminy Skrzyszów,2015-04-16
małopolskie,Mięso świeże oraz produkty mięsne,Kabanos wiejski z Andrychowa,2015-04-27
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa z gospody z Andrychowa,2015-04-27
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa krucha z Andrychowa,2015-04-27
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z galaretką z Nowej Wsi Szlacheckiej,2015-06-01
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z galaretką z Andrychowa,2015-06-08
małopolskie,Mięso świeże oraz produkty mięsne,Szynka wiejska sądecka tradycyjna,2015-06-08
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska sądecka,2015-06-08
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa starowiejska sądecka,2015-06-08
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska podegrodzka,2015-09-07
małopolskie,Mięso świeże oraz produkty mięsne,Słonina rosolona podegrodzka,2015-09-07
małopolskie,Gotowe dania i potrawy,Imbramowska kapusta na żurze,2015-09-25
małopolskie,Mięso świeże oraz produkty mięsne,Szynka podegrodzka,2015-11-04
małopolskie,Mięso świeże oraz produkty mięsne,Boczek podegrodzki,2015-11-04
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa tuchowska,2015-11-20
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska tuchowska,2015-11-20
małopolskie,Gotowe dania i potrawy,Hulajdy,2015-12-03
małopolskie,Gotowe dania i potrawy,Pasztet z fasoli z marchewką lub grzybami,2015-12-03
małopolskie,Gotowe dania i potrawy,Zupa karpielanka,2015-12-16
małopolskie,Gotowe dania i potrawy,Dziadki kokuszczańskie,2015-12-16
małopolskie,Gotowe dania i potrawy,Mirowska parzybroda,2015-12-16
małopolskie,Napoje (alkoholowe i bezalkoholowe),Miodówka ryterska,2015-12-16
małopolskie,Wyroby piekarnicze i cukiernicze,Cwibak z fasoli z bakaliami,2015-12-16
małopolskie,Wyroby piekarnicze i cukiernicze,Buchta bolęcińska,2015-12-16
małopolskie,Mięso świeże oraz produkty mięsne,Pstrąg ojcowski potokowy,2016-03-02
małopolskie,Mięso świeże oraz produkty mięsne,Pstrąg ojcowski tęczowy,2016-03-02
małopolskie,Napoje (alkoholowe i bezalkoholowe),Ratafia z kwiatami czarnego bzu i głogu,2016-03-02
małopolskie,Wyroby piekarnicze i cukiernicze,Radoczański jabłecznik,2016-03-02
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb siedliszowski,2016-03-02
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska raciechowicka,2016-03-09
małopolskie,Mięso świeże oraz produkty mięsne,Schab tradycyjny raciechowicki,2016-03-09
małopolskie,Mięso świeże oraz produkty mięsne,Szynka tradycyjna raciechowicka,2016-03-09
małopolskie,Mięso świeże oraz produkty mięsne,Boczek tradycyjny raciechowicki,2016-03-09
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa krakowska sucha,2016-04-21
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb podegrodzki,2016-09-06
małopolskie,Gotowe dania i potrawy,Sakiewka ziemniaczana,2016-09-14
małopolskie,Gotowe dania i potrawy,Kładzionki ziemniaczane witanowickie,2016-09-22
małopolskie,Mięso świeże oraz produkty mięsne,Pulpeciki z karpia w zalewie octowej,2016-10-14
małopolskie,Mięso świeże oraz produkty mięsne,Fileciki karpiowe w pomidorach,2016-10-14
małopolskie,Wyroby piekarnicze i cukiernicze,Obwarzanek pobiedrski,2016-10-14
małopolskie,Wyroby piekarnicze i cukiernicze,Placki pasterskie,2016-11-04
małopolskie,Sery i inne produkty mleczne,Śmietana z Limanowej,2017-02-17
małopolskie,Sery i inne produkty mleczne,Zsiadłe mleko z Limanowej,2017-02-17
małopolskie,Gotowe dania i potrawy,Pierogi z fasolą Piękny Jaś,2017-03-03
małopolskie,Mięso świeże oraz produkty mięsne,Kaszanka proszowicka,2017-03-03
małopolskie,Mięso świeże oraz produkty mięsne,Pasztet proszowicki,2017-03-03
małopolskie,Mięso świeże oraz produkty mięsne,Głowizna proszowicka,2017-03-03
małopolskie,Gotowe dania i potrawy,Klęczańska zupa wigilijna - jasiek ze śliwką,2017-04-20
małopolskie,Gotowe dania i potrawy,Pierogi kościeleckie ,2017-04-20
małopolskie,Gotowe dania i potrawy,Placek po rytersku,2017-04-20
małopolskie,Miody,Miód ze spadzi jodłowej z Pogórza Rożnowskiego ,2017-04-20
małopolskie,Wyroby piekarnicze i cukiernicze,Sodówki mogileńskie,2017-04-20
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb inwałdzki,2017-04-20
małopolskie,Wyroby piekarnicze i cukiernicze,Kościelecka strucla makowa,2017-04-20
małopolskie,Mięso świeże oraz produkty mięsne,Boczek domowy z Kasinki,2017-05-29
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa małopolska,2017-05-29
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa swojska tradycyjna z Kasinki,2017-05-29
małopolskie,Mięso świeże oraz produkty mięsne,Synecka tradycyjna  z Kasinki,2017-05-29
małopolskie,Inne produkty,Kiszone rydze z gminy Uście Gorlickie,2017-08-11
małopolskie,Napoje (alkoholowe i bezalkoholowe),Łososinski sok tłoczony z jabłek,2017-08-11
małopolskie,Miody,Miód spadziowy z Beskidu Wyspowego,2017-10-11
małopolskie,Napoje (alkoholowe i bezalkoholowe),Wino z jabłek i płatków róży z Wolicy,2017-10-11
małopolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie) ",Śliwki w zalewie korzennej z Wolicy,2017-10-11
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z Czernichowa,2018-02-27
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa schabowa tradycyjna z Czernichowa,2018-02-27
małopolskie,Mięso świeże oraz produkty mięsne,Polędwica tradycyjna z Czernichowa ,2018-02-27
małopolskie,Mięso świeże oraz produkty mięsne,Szynka tradycyjna z Czernichowa ,2018-02-27
małopolskie,Mięso świeże oraz produkty mięsne,Boczek tradycyjny z Czernichowa,2018-02-27
małopolskie,Gotowe dania i potrawy,Święconka (święcelina) spiska na ciepło ,2018-06-19
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa tradycyjnie wyrabiana ,2018-06-19
małopolskie,Mięso świeże oraz produkty mięsne,Sołdra (sołdrzyna) spiska,2018-06-19
małopolskie,Miody,Miód ze spadzi iglastej z Harbutowic ,2018-06-19
małopolskie,Wyroby piekarnicze i cukiernicze,Grulownik - twaroźnik spiski,2018-06-19
małopolskie,Mięso świeże oraz produkty mięsne,Szynka lipnicka,2018-11-16
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasa swoja z Rajbrotu,2018-11-16
małopolskie,Mięso świeże oraz produkty mięsne,Szołdra z Rajbrotu,2018-11-16
małopolskie,Mięso świeże oraz produkty mięsne,Kiełbasianka z Rajbrotu,2018-11-16
małopolskie,Wyroby piekarnicze i cukiernicze,Chleb swojski bobowski ,2018-11-16
małopolskie,Gotowe dania i potrawy,Lubecka zupa z lubczykiem,2019-07-12
małopolskie,Gotowe dania i potrawy,Rzodkie ziemnioki,2019-07-12
małopolskie,Gotowe dania i potrawy,Krzun wielkanocny ,2020-04-28
małopolskie,Gotowe dania i potrawy,Gulasz czorsztyński,2020-05-07
małopolskie,Wyroby piekarnicze i cukiernicze,Krówka regulicka,2020-05-18
małopolskie,Gotowe dania i potrawy,Mętkowska marchwionka,2020-06-09
małopolskie,Gotowe dania i potrawy,Zagórskie placki ziemniaczane z pokrzywą,2021-11-16
małopolskie,Wyroby piekarnicze i cukiernicze,Kołacz razowy na słono,2021-11-16
małopolskie,Gotowe dania i potrawy,Babka wojenna z Gromca,2021-11-16
małopolskie,Gotowe dania i potrawy,Pierogi z suszonymi śliwkami,2021-11-16
małopolskie,Gotowe dania i potrawy,Kluski rozgarnywane zwane sapką,2021-11-16
małopolskie,Gotowe dania i potrawy,Kluski tlone z Luszowic,2021-11-16
małopolskie,Gotowe dania i potrawy,Karniowickie szarpańce,2021-11-16
małopolskie,Gotowe dania i potrawy,Zagórzańska zupa z karpieli na mleku,2022-01-05
mazowieckie,Sery i inne produkty mleczne,"Ser domowy smażony z kminkiem, z czosnkiem, bez przypraw",2005-10-10
mazowieckie,Wyroby piekarnicze i cukiernicze,Baba z chleba żytniego,2006-03-10
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa nadbużańska jałowcowa sucha,2006-09-12
mazowieckie,Miody,Miód kurpiowski,2007-06-11
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa ojcowa z Sobień Jezior,2007-06-13
mazowieckie,Mięso świeże oraz produkty mięsne,Pasztet z Sobień Jezior,2007-06-13
mazowieckie,Mięso świeże oraz produkty mięsne,Polędwiczki wędzone podsuszane,2007-07-20
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Miodowe piwo mazowieckie,2007-09-19
mazowieckie,Wyroby piekarnicze i cukiernicze,Pańska skórka,2008-01-30
mazowieckie,Mięso świeże oraz produkty mięsne,Polędwica kurpiowska,2008-03-26
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Jabłka grójeckie,2008-04-29
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Piwo z Ciechanowa,2008-12-04
mazowieckie,Gotowe dania i potrawy,Kapusta z olejem lnianym i grzybami,2009-02-23
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Nalewka wiśniowa zakroczymska,2009-03-31
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Podchmielone wisienki zakroczymskie,2009-03-31
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Konfitura wiśniowa zakroczymska,2009-03-31
mazowieckie,Inne produkty,Makaron radziwiłłowski,2009-04-01
mazowieckie,Miody,Miód nadbużański,2009-04-01
mazowieckie,Wyroby piekarnicze i cukiernicze,Sójka mazowiecka,2009-05-11
mazowieckie,Inne produkty,Jaja z Radziwiłłowa,2009-06-15
mazowieckie,Mięso świeże oraz produkty mięsne,Kogutki z Radziwiłłowa,2009-12-21
mazowieckie,Mięso świeże oraz produkty mięsne,Pasztet domowy szydłowiecki,2010-03-23
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa szydłowiecka pieczona z oczkiem,2010-03-23
mazowieckie,Mięso świeże oraz produkty mięsne,Kaszanka szydłowiecka z wątróbką w kostkę krojoną,2010-03-23
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa staropolska szydłowiecka,2010-03-23
mazowieckie,Wyroby piekarnicze i cukiernicze,Fefernuchy,2010-03-31
mazowieckie,Inne produkty,Jaja perlicze z Grabiny Radziwiłłowskiej,2010-05-17
mazowieckie,Mięso świeże oraz produkty mięsne,Skołatowska słoninka – przysmak myśliwego,2010-05-17
mazowieckie,Gotowe dania i potrawy,Pierogi z ziemniakami „Szlachcice”,2010-07-21
mazowieckie,Mięso świeże oraz produkty mięsne,Perliczki z Grabiny Radziwiłłowskiej,2010-07-21
mazowieckie,Wyroby piekarnicze i cukiernicze,Chleb razowy radziwiłłowski,2010-07-21
mazowieckie,Gotowe dania i potrawy,Ślimak winny z Radziwiłłowa,2010-11-10
mazowieckie,Mięso świeże oraz produkty mięsne,Bolimowski gołąb nadworny ryś,2010-11-10
mazowieckie,Mięso świeże oraz produkty mięsne,Kapłon staropolski (kapłun staropolski),2010-11-10
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Czosnek latowicki,2010-11-10
mazowieckie,Mięso świeże oraz produkty mięsne,Pularda mazowiecka,2011-05-16
mazowieckie,Mięso świeże oraz produkty mięsne,Czarna kiszka ze Starych Litewnik,2011-06-02
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa ze Starych Litewnik,2011-06-02
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Likier jajeczny radziwiłłowski,2011-06-02
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa palcówka,2011-07-28
mazowieckie,Mięso świeże oraz produkty mięsne,Maciek mazowiecki,2011-07-28
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Papryka przytycka,2011-07-28
mazowieckie,Mięso świeże oraz produkty mięsne,Szynka pieczona w chlebie,2011-11-03
mazowieckie,"Oleje i tłuszcze (masło, margaryna itp.)",Mazowieckie masło klarowane,2011-11-03
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Miodolada mazowiecka,2012-02-06
mazowieckie,Miody,Miody z Grębkowa,2012-05-31
mazowieckie,Sery i inne produkty mleczne,Kozi ser twarogowy z Cegłowa,2012-05-31
mazowieckie,Gotowe dania i potrawy,Rosół dworski z kapłona,2012-07-10
mazowieckie,Mięso świeże oraz produkty mięsne,Salceson wizytowy,2012-07-18
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Kompot z jabłek z Radziwiłłowa,2012-11-09
mazowieckie,Mięso świeże oraz produkty mięsne,Szynka zdziechowska,2013-01-24
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa z wątrobą z Kornicy,2013-05-14
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Lipówka kornicka,2013-05-14
mazowieckie,"Produkty rybołówstwa, w tym ryby ",Pasta rybna z Radziwiłłowa,2013-05-14
mazowieckie,Wyroby piekarnicze i cukiernicze,Chleb żytni ciemny z Grębkowa,2013-05-15
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Marmolada z antonówek,2013-07-02
mazowieckie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej lniany tłoczony na zimno,2013-07-19
mazowieckie,Gotowe dania i potrawy,Czarnina ze Mchowa,2013-07-29
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Soki miodowe z Grębkowa,2013-08-26
mazowieckie,Wyroby piekarnicze i cukiernicze,Mazowieckie ciastka ze skwarek,2013-08-26
mazowieckie,Mięso świeże oraz produkty mięsne,Szynka dębowa z tynki,2013-09-05
mazowieckie,Gotowe dania i potrawy,Kornickie jaja faszerowane,2013-10-01
mazowieckie,Miody,Miody mariańskie,2013-10-21
mazowieckie,Sery i inne produkty mleczne,Kozi ser twarogowy suszony,2013-10-21
mazowieckie,Wyroby piekarnicze i cukiernicze,Nadbużański chleb wiejski na zakwasie ,2013-12-19
mazowieckie,Wyroby piekarnicze i cukiernicze,Bułki drożdżowe jagodzianki,2013-12-19
mazowieckie,Gotowe dania i potrawy,Naleśniki starokornickie,2014-01-14
mazowieckie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło z kwaśnej śmietany,2014-01-14
mazowieckie,Miody,Miód wielokwiatowy łąkowy z Kornicy,2014-01-24
mazowieckie,"Produkty rybołówstwa, w tym ryby ",Śledź w oleju z Radziwiłłowa,2014-01-24
mazowieckie,Sery i inne produkty mleczne,Ser ziemny z Kornicy,2014-05-15
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Kwas chlebowy na miodzie z Grębkowa,2014-07-15
mazowieckie,Gotowe dania i potrawy,Placki ziemniaczane pieczone na blasze,2014-08-07
mazowieckie,Gotowe dania i potrawy,Golonka faszerowana grzybami leśnymi z Rudki,2014-08-07
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Krupnik z Grębkowa,2015-02-12
mazowieckie,Mięso świeże oraz produkty mięsne,Zakrzewska kiełbasa jałowcowa,2015-03-05
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska zdziechowska,2015-03-05
mazowieckie,Wyroby piekarnicze i cukiernicze,Korowaj weselny,2015-03-31
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Wino miodowe z Grębkowa,2015-04-16
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z Lipska,2015-05-18
mazowieckie,Gotowe dania i potrawy,Bendzwały szlacheckie,2015-07-03
mazowieckie,Mięso świeże oraz produkty mięsne,Pomasta,2015-07-03
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Piwo kozicowe,2015-07-03
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Konfitura borówkowa z gruszką,2015-07-03
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa olszycka podsuszana,2015-09-07
mazowieckie,Mięso świeże oraz produkty mięsne,Pasztet z mięsa wieprzowego z Kornicy,2015-09-07
mazowieckie,Inne produkty,Powidła olenderskie,2015-09-25
mazowieckie,Gotowe dania i potrawy,Marchwianka,2015-10-26
mazowieckie,Miody,Miód wielokwiatowy Ziemi Tłuszczańskiej,2015-11-20
mazowieckie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło śmietankowe z Radziwiłłowa,2016-04-21
mazowieckie,Inne produkty,Jastrząbki,2016-07-18
mazowieckie,Mięso świeże oraz produkty mięsne,Półgęsek z Radziwiłłowa,2016-07-18
mazowieckie,Mięso świeże oraz produkty mięsne,Baleron kurpiowski,2016-09-14
mazowieckie,Gotowe dania i potrawy,Cebula duszona ze skwarkami z Sypniewa,2016-09-22
mazowieckie,Mięso świeże oraz produkty mięsne,Schab parzony kurpiowski,2016-11-04
mazowieckie,Mięso świeże oraz produkty mięsne,Szynka kurpiowska,2016-11-04
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Domowa nalewka z tarniny,2016-11-04
mazowieckie,Gotowe dania i potrawy,Barszcz zabielany z kiszonej kapusty na skórkach wieprzowych,2016-12-01
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Syrop z czarnego bzu z Puszczy Mariańskiej,2016-12-01
mazowieckie,Gotowe dania i potrawy,Barszcz czerwony zabielany z Ziemak,2016-12-21
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska kurpiowska,2016-12-21
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Konfitura truskawkowa,2017-01-18
mazowieckie,Gotowe dania i potrawy,Rosół z prośnianek z Jastrząbki,2017-02-01
mazowieckie,"Produkty rybołówstwa, w tym ryby ",Sofor-kurpiowska polewka rybna ,2017-02-01
mazowieckie,Gotowe dania i potrawy,Czernickie pierogi ,2017-07-27
mazowieckie,Gotowe dania i potrawy,Szlachcianka - jajecznica z Troszyna,2017-07-27
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Tłoczony sok jabłkowy z doliny Radomki,2017-07-27
mazowieckie,Miody,Perła Urzecza - miód nawłociowy,2017-08-11
mazowieckie,Wyroby piekarnicze i cukiernicze,Amoniaczki,2017-08-11
mazowieckie,Gotowe dania i potrawy,Jednorojski malón - zupa z dyni z Jednorożca,2017-09-06
mazowieckie,Gotowe dania i potrawy,Pierogi z jagodami z Myszyńca,2017-09-06
mazowieckie,Gotowe dania i potrawy,Zawijas kartoflany ze Szwelic,2017-09-06
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Herbatka z czarnego bzu z Puszczy Mariańskiej,2017-09-06
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Sok z czarnego bzu z Puszczy Mariańskiej,2017-09-06
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Nalewka nadbużańska owocowa - mirabelka,2017-09-06
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki kiszone z liściem dębu,2017-09-06
mazowieckie,Sery i inne produkty mleczne,Ser kozi z Jakubowa,2017-09-06
mazowieckie,Gotowe dania i potrawy,Kiszka ziemniaczana,2017-10-11
mazowieckie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej rzepakowy z Winnik tłoczony na zimno ,2017-11-30
mazowieckie,Wyroby piekarnicze i cukiernicze,Razówka z Kozienic,2017-11-30
mazowieckie,Mięso świeże oraz produkty mięsne,Kaczka z jabłkami z chojnowskiego dworu,2018-01-23
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kozienicki ogórek kiszony,2018-02-08
mazowieckie,Gotowe dania i potrawy,Rejbak kurpiowski,2018-02-27
mazowieckie,Mięso świeże oraz produkty mięsne,Pasztet domowy z Dworu Zygmunty ,2018-03-29
mazowieckie,Sery i inne produkty mleczne,Ser kozi młodziak,2018-03-29
mazowieckie,"Produkty rybołówstwa, w tym ryby ",Karp marynowany z rzeki Rawki,2018-03-29
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Sos dynio-ziołowy,2018-04-19
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Nalewka staropolska na pędach sosny z Łomianek,2018-05-15
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Nalewki staropolskie wiśniowe z Łomianek ,2018-05-15
mazowieckie,Gotowe dania i potrawy,Blaszak,2018-07-24
mazowieckie,Gotowe dania i potrawy,Grzyby smażone gostynińskie,2018-07-24
mazowieckie,"Produkty rybołówstwa, w tym ryby ",Węgorz marynowany z rzeki Rawki,2018-07-24
mazowieckie,Gotowe dania i potrawy,Bugaj gruduski,2018-08-27
mazowieckie,Gotowe dania i potrawy,Barszcz botwinka z Radziwiłłowa,2019-05-14
mazowieckie,Gotowe dania i potrawy,Barszcz szczawiowy z Radziwiłłowa,2019-05-14
mazowieckie,Mięso świeże oraz produkty mięsne,Baleron płocki,2019-05-14
mazowieckie,Mięso świeże oraz produkty mięsne,Kiełbasa tumska,2019-05-14
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Galaretka z czarnej porzeczki,2019-05-14
mazowieckie,Wyroby piekarnicze i cukiernicze,Koza prostyńska,2019-05-14
mazowieckie,Gotowe dania i potrawy,Lepiuchy bodzanowskie,2019-05-16
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Nalewska wiśniowa z Dobrzankowa,2019-05-31
mazowieckie,Miody,Miód kozienicki,2019-06-12
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Napój z kwiatów bzu czarnego z Puszczy Mariańskiej,2019-06-12
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Nalewka z orzecha włoskiego,2019-06-12
mazowieckie,Wyroby piekarnicze i cukiernicze,Chleb razowiec żytni na zakwasie z Siedlec (marszałkowski),2019-06-12
mazowieckie,Gotowe dania i potrawy,Trepy po załawsku,2019-06-14
mazowieckie,Gotowe dania i potrawy,Kapusta dębowa (ziemniaczana),2019-08-02
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Mazowieckie powidła śliwkowe,2019-08-09
mazowieckie,Gotowe dania i potrawy,Pierogi niemojskie,2019-12-16
mazowieckie,Miody,Miód wielokwiatowy z Pawłowa,2019-12-16
mazowieckie,Gotowe dania i potrawy,Flaki cielęce z Radziwiłłowa,2020-01-31
mazowieckie,Gotowe dania i potrawy,Kapusta z grochem z Radziwiłłowa,2020-01-31
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Kwas chlebowy z Załawy ,2020-04-09
mazowieckie,Gotowe dania i potrawy,Gruduskie szaraki,2020-06-09
mazowieckie,Wyroby piekarnicze i cukiernicze,Czernickie laleczki odpustowe,2020-06-29
mazowieckie,Sery i inne produkty mleczne,Ser twarogowy z Gąsiorowa,2021-03-30
mazowieckie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Truskawka zwoleńska,2021-04-20
mazowieckie,Sery i inne produkty mleczne,Ser twarogowy pogorzelski,2021-07-12
mazowieckie,Sery i inne produkty mleczne,Ser podpuszczkowy pogorzelski,2021-07-12
mazowieckie,Miody,Miód wielokwiatowy Ziemi Serockiej,2021-07-12
mazowieckie,Gotowe dania i potrawy,Sójka głowaczowska,2021-09-02
mazowieckie,Napoje (alkoholowe i bezalkoholowe),Syrop z mniszka z Puszczy Mariańskiej,2021-09-02
mazowieckie,Gotowe dania i potrawy,Jaglaki (gołąbki z kaszy jaglanej i kapusty kiszonej),2021-09-17
mazowieckie,Napoje (alkoholowe i bezalkoholowe),"Kwas z buraków ćwikłowych (zwany też: kwasem z czerwonych buraków, zakwasem buraczanym, buraczanym kwasem)",2021-11-07
opolskie,Wyroby piekarnicze i cukiernicze,"Staropolski chleb sanacyjny, pieczony na drewnie i liściach kapusty",2005-09-19
opolskie,Napoje (alkoholowe i bezalkoholowe),Nalewka orzechowa,2005-10-10
opolskie,Wyroby piekarnicze i cukiernicze,Jeż – ciasto tortowe z masą kremową z czarnej porzeczki,2005-10-10
opolskie,Gotowe dania i potrawy,Gołąbki z kaszy gryczanej i ziemniaków,2006-01-09
opolskie,Wyroby piekarnicze i cukiernicze,Chałwy sezamowe,2006-01-09
opolskie,Gotowe dania i potrawy,"Kartoffelsalat (też szałot śląski, szałot kartoflany z boczkiem wędzonym)",2006-08-28
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)","Jabłka odmiany Berlepsch, znane też pod nazwą niemiecką Goldrenette Freiherr von Berlepsch, Roter Berlepsch",2006-08-28
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Stara odmiana jabłoni Königin,2006-08-28
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)","Stara odmiana jabłoni Książę Albrecht Pruski (nazwa niemiecka Prinz Albrecht von Preuβen, Albrechtsapfel)",2006-08-28
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)","Jabłka odmiany Grafsztynek prawdziwy, zwany też Grafsztynkiem z Grafsztynu (nazwy niemieckie Gravensteiner, Haferapfel)",2006-08-28
opolskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Jabłka odmiany Wealthy,2006-08-28
opolskie,Sery i inne produkty mleczne,Domowy ser parzony z kminkiem,2006-08-28
opolskie,Gotowe dania i potrawy,Placki kartoflane z blachy,2006-09-25
opolskie,Gotowe dania i potrawy,Pieróg postny ze Starych Kolni,2006-09-25
opolskie,Gotowe dania i potrawy,Mołcka – potrawa wigilijna,2006-09-25
opolskie,Gotowe dania i potrawy,Kluski śląskie (tzw. biołe kluski),2007-01-19
opolskie,Mięso świeże oraz produkty mięsne,Opolska rolada wołowa,2007-01-19
