Województwo,"Rodzaj produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt","Nazwa produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt",Data wpisu na lpt
dolnośląskie,Miody,Miód wrzosowy z Borów Dolnośląskich,2005-09-28 00:00:00
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki konserwowe ścinawskie,2007-04-24 00:00:00
dolnośląskie,Gotowe dania i potrawy,Keselica / kysielnica / kysyłycia ,2007-05-11 00:00:00
dolnośląskie,Miody,Wielokwiatowy miód z Doliny Baryczy,2007-05-11 00:00:00
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Juha – kompot z suszonych owoców,2007-05-11 00:00:00
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Wino śląskie,2007-06-11 00:00:00
dolnośląskie,Miody,Sudecki miód gryczany,2007-08-10 00:00:00
dolnośląskie,Miody,Sudecki miód wielokwiatowy,2007-08-30 00:00:00
dolnośląskie,"Produkty rybołówstwa, w tym ryby",Karp milicki,2007-12-04 00:00:00
dolnośląskie,Gotowe dania i potrawy,Śląskie niebo,2008-03-07 00:00:00
dolnośląskie,Sery i inne produkty mleczne,Ser zgorzelecki,2008-03-07 00:00:00
dolnośląskie,Gotowe dania i potrawy,Czarne gołąbki krużewnickie,2008-03-28 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb gogołowicki,2008-05-12 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Begle,2008-05-12 00:00:00
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki kwaszone ślężańskie,2008-07-23 00:00:00
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kapusta kwaszona ślężańska,2008-07-23 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Ciasto z kruszonką z Ziemi Kłodzkiej,2008-07-23 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Świnka pieczona po zaciszańsku,2008-08-29 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb chłopski z Rogowa Sobóckiego,2009-09-09 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb żytni domowy z Pomocnego,2010-02-15 00:00:00
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Piwo książęce z Lwówka,2010-06-25 00:00:00
dolnośląskie,Sery i inne produkty mleczne,Ser kozi łomnicki,2010-07-21 00:00:00
dolnośląskie,Sery i inne produkty mleczne,Kamiennogórski ser pleśniowy,2010-08-12 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb pszenno-żytni na zakwasie z Pomocnego,2011-03-28 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Słonina marynowana z Niemczy,2011-08-25 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Mięso w kawałkach niemczańskie domowe,2011-08-25 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Szynka wieprzowa niemczańska,2011-08-25 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Kiełbasa niemczańska,2011-08-25 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Miodowe pierniczki z Przemkowa,2011-08-25 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Kiełbasa galicjanka z Niemczy,2012-02-23 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Przysmak wołyński z Niemczy,2012-02-23 00:00:00
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Tłoczony sok jabłkowy z Lutyni,2012-05-15 00:00:00
dolnośląskie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło tradycyjne,2012-06-27 00:00:00
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Jabłecznik trzebnicki (cydr),2012-09-21 00:00:00
dolnośląskie,"Produkty rybołówstwa, w tym ryby",Pstrąg kłodzki,2012-10-05 00:00:00
dolnośląskie,Miody,Miód lipowy krupiec z Ziemi Ząbkowickiej,2013-02-18 00:00:00
dolnośląskie,Sery i inne produkty mleczne,Twaróg sudecki,2013-04-24 00:00:00
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Likier karkonoski,2013-05-21 00:00:00
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Syrop malinowy z Doliny Baryczy,2013-07-18 00:00:00
dolnośląskie,Gotowe dania i potrawy,Pierogi ruskie z Chrząstawy,2013-10-21 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Pszenno-żytnie pierniki z Oleśnicy,2013-12-19 00:00:00
dolnośląskie,Gotowe dania i potrawy,Pasztet z królika ze szpinakiem,2014-07-31 00:00:00
dolnośląskie,"Produkty rybołówstwa, w tym ryby",Pstrąg kłodzki wędzony,2014-07-31 00:00:00
dolnośląskie,Gotowe dania i potrawy,Spytkowska gęś nadziewana naleśnikami,2014-08-22 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Kiełbasa w słoiku z Przedgórza Sudeckiego,2016-04-21 00:00:00
dolnośląskie,Miody,Ryczyński miód lipowy,2016-04-21 00:00:00
dolnośląskie,Wyroby piekarnicze i cukiernicze,Kołacz Ormian kuckich,2016-11-04 00:00:00
dolnośląskie,Gotowe dania i potrawy,Gandżabur- zupa chorutowa z uszkami,2017-03-17 00:00:00
dolnośląskie,Gotowe dania i potrawy,Bałkańska pita z Lipian ,2017-07-27 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Salceson polski z Karkonoszy,2019-06-14 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,Szynka pieczona z Karkonoszy,2019-06-14 00:00:00
dolnośląskie,Mięso świeże oraz produkty mięsne,kabanosy z cielęciną z Karkonoszy,2019-06-14 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła śliwkowe z Doliny Dolnej Wisły,2006-03-15 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka z czarnej porzeczki,2006-05-12 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka orzechowa,2006-05-12 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka z kwiatów głogu (bulimączka),2006-05-12 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Dzięgielówka,2006-05-12 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka dereniowa,2006-05-12 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,"Półgęsek, znany też jako półgąsek albo pierśnik",2006-08-22 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Biała kiełbasa w słoiku,2007-02-12 00:00:00
kujawsko-pomorskie,Miody,Miody z rejonu Dolnej Wisły,2007-02-12 00:00:00
kujawsko-pomorskie,Sery i inne produkty mleczne,Kajmak ,2007-09-28 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Księżycówka z Kujaw,2008-02-27 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Sok z kapusty kwaszonej,2008-02-27 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Mace borowiackie,2008-02-27 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Chleb z makiem ze Stolna,2008-02-27 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Żur kujawski,2008-05-05 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Piwo nakielskie jasne,2008-06-19 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Stoleński razowiec ze słonecznikiem,2009-05-11 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Piwo nakielskie ciemne,2009-05-14 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Świąteczna szynka kujawska z kością,2009-06-15 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Chleb z kminkiem ze Stolna,2009-06-24 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Wino domowe z Kujaw,2009-07-14 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Czarnina kujawska,2010-01-18 00:00:00
kujawsko-pomorskie,Inne produkty,Mniszek bronisławski,2010-01-18 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Podpiwek kujawski,2011-04-14 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Gruszki szaruszki w syropie,2011-07-22 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Zupa kwas,2011-07-28 00:00:00
kujawsko-pomorskie,Inne produkty,Ciechocińska sól,2011-11-03 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Mazurek orzechowy,2011-11-03 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Kujawiok – wielkanocna baba drożdżowa,2011-11-03 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Amoniaczki,2011-11-24 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Placki na sodzie,2011-11-24 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Marchew krychano,2012-02-06 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Grzybowniczki,2012-02-23 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Kawa zbożowa z jęczmienia,2012-03-06 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Paczki ziemniaczano-dyniowe,2012-04-16 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kaczka nadziewana po Kujawsku,2012-07-27 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Fjut/cyrop,2012-07-27 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Groch z kapustą,2012-09-28 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Wigilijna zupa z suszonych śliwek,2012-11-20 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kluski z makiem,2012-12-14 00:00:00
kujawsko-pomorskie,Inne produkty,Kulis-kwas z buraczków,2013-01-31 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Chleb żytni z ziemniakami,2013-03-22 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Rosopita,2013-05-15 00:00:00
kujawsko-pomorskie,Sery i inne produkty mleczne,Gzik,2013-05-15 00:00:00
kujawsko-pomorskie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło wiejskie z Wołuszewa,2013-06-24 00:00:00
kujawsko-pomorskie,Sery i inne produkty mleczne,Ser kozi z Mikanowa,2013-06-24 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Herbatki z ziołowych wianków,2013-06-27 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Żeberka w kapuście,2013-07-29 00:00:00
kujawsko-pomorskie,Sery i inne produkty mleczne,Twaróg z Kujaw i Ziemi Dobrzyńskiej,2013-07-31 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Ruchańce drożdżowe,2013-07-31 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Piernik na karmelu/ Brukowiec kujawski,2013-09-11 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kiszczok,2013-10-21 00:00:00
kujawsko-pomorskie,Sery i inne produkty mleczne,Lody koronowskie,2014-04-29 00:00:00
kujawsko-pomorskie,Inne produkty,Placki z ciasta kluskowego pieczone na fajerkach,2014-07-02 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Ciastka królewskie z Sosna Królewskiego,2014-12-22 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Prażucha (ziemniaczane fusze),2015-02-12 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Kaczka z weka,2015-02-12 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Okrasa gęsia z cząbrem,2015-07-15 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Leberka gęsia,2015-07-15 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Śliwka w occie,2015-07-28 00:00:00
kujawsko-pomorskie,Sery i inne produkty mleczne,Ser smażony z kminkiem,2015-07-28 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Fałszywy zając,2015-08-05 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kapusta modra szmurowana z rodzynkami,2015-08-05 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Szyja gęsia nadziewana,2015-08-24 00:00:00
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Owijunki,2015-08-24 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Poliwka,2016-01-19 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Szczawiówka (zupa szczawiowa),2016-01-19 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kujawskie pierogi z kapustą i grzybami,2016-07-18 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kluski ziemniaczane z białym serem,2016-07-18 00:00:00
kujawsko-pomorskie,"Produkty rybołówstwa, w tym ryby",Karp nakielski,2016-07-18 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kartoflanka po kujawsku,2016-09-06 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kujawskie pierogi z serem,2016-09-14 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Bułki na parze/Pampuchy z Kujaw,2017-02-01 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Winko z chabru,2017-02-01 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Kujawskie ciasto marchewkowe,2017-03-03 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Pyzok - placek ziemniaczany z Dobrego,2017-05-08 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kujawska bania z zacirkami,2017-07-27 00:00:00
kujawsko-pomorskie,"Oleje i tłuszcze (masło, margaryna itp.)",Szary smalec,2017-09-27 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Jabłecznik kujawski,2017-09-27 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kujawska parzybroda,2018-01-23 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kujawska zupa z jajek,2018-02-27 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Mięta pieprzowa unisławska,2018-07-24 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Kujawskie pierniki z ziemniakami ,2018-11-16 00:00:00
kujawsko-pomorskie,Inne produkty,Marmolada z buraków cukrowych,2019-05-17 00:00:00
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Piołunówka tucholska,2019-05-17 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Placek drożdżowy,2019-05-17 00:00:00
kujawsko-pomorskie,Inne produkty,Polanka - herbatka z macierzanki,2019-07-12 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)","Susz owocowy - dawniej ""brzad""",2019-07-12 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Pierogi z kapustą kiszoną i ziemniakami ,2020-01-21 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Pierniczki drobne (kamyczki),2020-01-21 00:00:00
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Bania w zalewie ,2020-02-02 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Klepacze - placki ziemniaczane pieczone na fajerkach,2020-03-27 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Zacierka kraszona,2020-10-15 00:00:00
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Pierniki z Torunia,2021-02-23 00:00:00
kujawsko-pomorskie,Gotowe dania i potrawy,Kujawskie grzybki wigilijne,2021-04-20 00:00:00
lubelskie,Miody,Miód fasolowy odmianowy z nektaru kwiatów fasoli tyczkowej „Piękny Jaś”,2005-09-28 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Miód pitny półtorak,2005-09-28 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Miód pitny dwójniak,2005-09-28 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Miód pitny trójniak,2005-09-28 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Miód pitny czwórniak,2005-09-28 00:00:00
lubelskie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej Świąteczny Roztoczański,2005-09-28 00:00:00
lubelskie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej rzepakowy,2005-09-28 00:00:00
lubelskie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej lniany,2005-09-28 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Pieróg (Piróg) biłgorajski dawniej zwany „krupniakiem”,2005-09-28 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Malinóweczka,2005-10-10 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Sękacz podlaski,2005-10-10 00:00:00
lubelskie,Gotowe dania i potrawy,Parowańce z kaszą jaglaną,2005-11-16 00:00:00
lubelskie,Gotowe dania i potrawy,Parowańce z serem,2005-11-16 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Marchwiaki z makiem,2005-11-16 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Racuchy z makiem,2005-11-16 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Grzaniec Marcina z Urzędowa,2006-01-16 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kapusta kwaszona kraśnicka,2006-01-23 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki kiszone kraśnickie,2006-01-23 00:00:00
lubelskie,Gotowe dania i potrawy,Pierogi nowodworskie,2006-02-28 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Kaszanka „nadwieprzanka”,2006-02-28 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Kiełbasa „nadwieprzańska”,2006-02-28 00:00:00
lubelskie,Miody,Miód malinowy,2006-03-24 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Kaczka czarna nadziewana,2006-08-22 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Pieróg gryczany,2006-08-22 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Naleweczka gruszkówka z Kraśnika,2006-11-28 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Nalewka poziomkowa leśna z Kraśnika,2006-11-28 00:00:00
lubelskie,Miody,Miód gryczany godziszowski,2007-02-09 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Witaminy Eremity – syrop z czarnego bzu,2007-02-09 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Nektar świętego Eugeniusza – miód ziołowy,2007-02-09 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Kodeński chleb razowy żytni,2007-02-09 00:00:00
lubelskie,Miody,Miód gryczany z Lubelszczyzny,2007-02-28 00:00:00
lubelskie,Miody,Miód rzepakowy z Roztocza,2007-02-28 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Cebularz lubelski,2007-04-27 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Gryczak janowski,2007-09-04 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Gryczok godziszowski,2008-01-30 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Polędwica nadwieprzańska,2008-02-18 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Szynka nadwieprzańska,2008-02-18 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Baleron nadwieprzański,2008-02-18 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Boczek nadwieprzański,2008-02-18 00:00:00
lubelskie,Miody,Nadwieprzański miód wielokwiatowy,2008-03-25 00:00:00
lubelskie,Miody,Nadwieprzański miód lipowy,2008-03-25 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Janowska nalewka miodowa,2008-04-29 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Żurawinówka momocka,2008-04-29 00:00:00
lubelskie,Gotowe dania i potrawy,Zawijas nasutowski,2008-09-26 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Gruszka suszona kraśnicka,2008-12-12 00:00:00
lubelskie,Sery i inne produkty mleczne,Ser zabłocki,2009-03-05 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Świnia rasy puławskiej,2009-05-28 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Rudnicki pieróg jaglany,2009-06-15 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Piernik lubelski,2009-07-14 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Kwas chlebowy sapieżyński kodeński,2009-07-31 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Chleb ludwiński,2009-08-11 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Chleb ludwiński żytni,2009-08-11 00:00:00
lubelskie,Gotowe dania i potrawy,Kulebiak generałowej Kickiej,2009-09-09 00:00:00
lubelskie,"Produkty rybołówstwa, w tym ryby",Szyneczka z karpia z Pustelni,2009-09-09 00:00:00
lubelskie,"Produkty rybołówstwa, w tym ryby",Wędzone dzwonka karpia z Pustelni,2009-09-09 00:00:00
lubelskie,Gotowe dania i potrawy,Parowańce żakowolskie z soczewicą,2009-11-02 00:00:00
lubelskie,Gotowe dania i potrawy,Pierogi olszewnickie z kaszą gryczaną,2009-11-02 00:00:00
lubelskie,Gotowe dania i potrawy,Parowańce brzozowickie z kapustą i grzybami,2009-11-02 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Zawijaki wygnanowskie,2009-11-02 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Pączki żakowolskie z powidłami antonówek,2009-11-02 00:00:00
lubelskie,Gotowe dania i potrawy,Pierogi żakowolskie ze smażonymi ziemniakami,2009-11-04 00:00:00
lubelskie,Gotowe dania i potrawy,Pierogi lipniackie z kapustą i grzybami,2009-11-04 00:00:00
lubelskie,Gotowe dania i potrawy,Pierogi zosinowskie z jagodami,2009-11-04 00:00:00
lubelskie,Gotowe dania i potrawy,Tertuny brzozowickie z soczewicą,2009-11-04 00:00:00
lubelskie,Gotowe dania i potrawy,Pierogi turowskie z soczewicą,2009-11-04 00:00:00
lubelskie,Gotowe dania i potrawy,Pyzy polskowolskie z mięsem,2009-11-04 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Racuchy turowskie,2009-11-04 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Kordiał żurawinowy kraśnicki,2010-09-07 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Piernik żydowski,2010-09-07 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Chleb żytni wygnanowski,2010-09-07 00:00:00
lubelskie,Gotowe dania i potrawy,Lubelski forszmak,2010-10-08 00:00:00
lubelskie,"Oleje i tłuszcze (masło, margaryna itp.)",Olej tarnogrodzki,2011-01-10 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Pierniczki ozdobne,2011-01-10 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Wafle tortowe suche,2011-01-10 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Maliniak kraśnicki – wódka malinówka,2011-02-15 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Miodownik z Jaszczowa,2011-03-28 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Malina kraśnicka,2011-04-14 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Nalewka ziemiańska,2011-05-16 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Sok z maliny kraśnickiej,2011-05-16 00:00:00
lubelskie,Gotowe dania i potrawy,Zupa cebulowa z Goraja,2011-07-22 00:00:00
lubelskie,Inne produkty,Makaron jajeczny z Ludwina,2011-07-22 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Ludwińskie prosię pieczone faszerowane,2011-07-22 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła śliwkowe z Mikołajówki,2011-09-23 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Syrop malinowy z Mikołajówki,2011-09-23 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Oranżada z Kąkolewnicy,2012-02-06 00:00:00
lubelskie,"Produkty rybołówstwa, w tym ryby",Karasie z Polesia,2012-02-06 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Paszteciki z grzybami,2012-02-06 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Makowiec lubartowski,2012-02-06 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Całuski pszczelowolskie,2012-04-16 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Chleb wiejski dębowiecki,2012-05-31 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Chleb wiejski z otrębami,2012-07-04 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Kaszanka pieczona z Dobrosławowa,2012-07-10 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Szarytka w marynacie,2012-07-10 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Kiełbasa wieprzowa z Krzczonowa,2012-09-28 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Szynka wieprzowa z Krzczonowa,2012-09-28 00:00:00
lubelskie,Gotowe dania i potrawy,Paszteciki niedrzwickie z kapustą i pieczarkami,2012-10-19 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Chleb niedrzwicki,2012-10-19 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Krupnik pszczelowolski,2012-11-20 00:00:00
lubelskie,Napoje (alkoholowe i bezalkoholowe),Warzonka kryształówka,2012-11-30 00:00:00
lubelskie,Gotowe dania i potrawy,Woleńskie kartoflaki,2012-12-07 00:00:00
lubelskie,Gotowe dania i potrawy,Zupa chłopska fajsławicka,2013-01-11 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Kiełbasa wiejska z Dobrosławowa,2013-01-11 00:00:00
lubelskie,Gotowe dania i potrawy,Werbkowickie placki z soczewicy,2013-01-24 00:00:00
lubelskie,Wyroby piekarnicze i cukiernicze,Ciasto staropolskie Podhoreckie,2013-01-24 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Pieczeń z szynki dzika – wędzona lub pieczona,2013-04-17 00:00:00
lubelskie,Mięso świeże oraz produkty mięsne,Dzik w cieście,2013-04-17 00:00:00
lubelskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Tymianek z Fajsławic,2013-06-12 00:00:00
